Sanskrit,Transliteration,English,Lesson,Type,Category
नमस्ते,namaste,Hello,L01,vocab,Greetings
नमस्कारः,namaskāraḥ,Salutation,L01,vocab,Greetings
सुप्रभातम्,suprabhātam,Good morning,L01,vocab,Greetings
शुभसंध्या,śubhasaṃdhyā,Good evening,L01,vocab,Greetings
शुभरात्रिः,śubharātriḥ,Good night,L01,vocab,Greetings
एकम्,ekam,One,L01,vocab,Numbers
द्वि/द्वे,dvi/dve,Two,L01,vocab,Numbers
त्रयः,trayaḥ,Three,L01,vocab,Numbers
चतुः,catuḥ,Four,L01,vocab,Numbers
पञ्च,pañca,Five,L01,vocab,Numbers
षट्,ṣaṭ,Six,L02,vocab,Numbers
सप्‍त,sapta,Seven,L02,vocab,Numbers
अष्ट,aṣṭa,Eight,L02,vocab,Numbers
नव,nava,Nine,L02,vocab,Numbers
दश,daśa,Ten,L02,vocab,Numbers
एकादश,ekādaśa,Eleven,L02,vocab,Numbers
द्वादश,dvādaśa,Twelve,L02,vocab,Numbers
त्रयोदश,trayodaśa,Thirteen,L02,vocab,Numbers
चतुर्दश,caturdaśa,Fourteen,L02,vocab,Numbers
पञ्चदश,pañcadaśa,Fifteen,L02,vocab,Numbers
षोडश,ṣoḍaśa,Sixteen,L03,vocab,Numbers
सप्तदश,saptadaśa,Seventeen,L03,vocab,Numbers
अष्टदश,aṣṭadaśa,Eighteen,L03,vocab,Numbers
एकोनविंशतिः,ekonaviṃśatiḥ,Nineteen,L03,vocab,Numbers
विंशतिः,viṃśatiḥ,Twenty,L03,vocab,Numbers
पिता,pitā,Father,L03,vocab,Family
माता,mātā,Mother,L03,vocab,Family
पुत्रः,putraḥ,Son,L03,vocab,Family
पुत्री,putrī,Daughter,L03,vocab,Family
भ्रातृ,bhrātṛ,Brother,L03,vocab,Family
भगिनी,bhaginī,Sister,L04,vocab,Family
पितामहः,pitāmahaḥ,Grandfather,L04,vocab,Family
जातुः,jātuḥ,Cousin,L04,vocab,Family
अन्नम्,annam,Rice/Food,L04,vocab,Food
फलम्,phalam,Fruit,L04,vocab,Food
दुग्धम्,dugdhām,Milk,L04,vocab,Food
दधि,dadhi,Curd/Yogurt,L04,vocab,Food
पला,palā,Leaf/Vegetable (generic),L04,vocab,Food
मधु,madhu,Honey,L04,vocab,Food
गजः,gajaḥ,Elephant,L04,vocab,Animals
वृषभः,vṛṣabhaḥ,Bull,L05,vocab,Animals
अश्वः,aśvaḥ,Horse,L05,vocab,Animals
सिंहः,siṁhaḥ,Lion,L05,vocab,Animals
मर्कटः,markaṭaḥ,Monkey,L05,vocab,Animals
कुक्कुरः,kukkuraḥ,Dog,L05,vocab,Animals
मार्जारः,mārgāraḥ,Cat,L05,vocab,Animals
श्वेत,śveta,White,L05,vocab,Colors
श्याम,śyāma,Black/Dark,L05,vocab,Colors
हरित,harita,Green,L05,vocab,Colors
नील,nīla,Blue,L05,vocab,Colors
पीत,pīta,Yellow,L06,vocab,Colors
रक्त,rakta,Red,L06,vocab,Colors
सिरः,siraḥ,Head,L06,vocab,Body Parts
नेत्रे,netre,Eye,L06,vocab,Body Parts
कर्ण,karṇa,Ear,L06,vocab,Body Parts
मुख,mukha,Mouth,L06,vocab,Body Parts
हस्त,hasta,Hand,L06,vocab,Body Parts
पाद,pāda,Foot,L06,vocab,Body Parts
हृदय,hṛdaya,Heart,L06,vocab,Body Parts
जलम्,jalam,Water,L06,vocab,Nature
अग्नि,agni,Fire,L07,vocab,Nature
वायु,vāyu,Air/Wind,L07,vocab,Nature
पृथिवी,pṛthivī,Earth,L07,vocab,Nature
आकाश,ākāśa,Sky,L07,vocab,Nature
पर्वत,parvata,Mountain,L07,vocab,Nature
गृहः,gṛhaḥ,House,L07,vocab,Household
कुर्सी,kursī,Chair,L07,vocab,Household
मंडप,maṇḍapa,Hall/Porch,L07,vocab,Household
अलमारी,almārī,Cupboard,L07,vocab,Household
कपः,kapaḥ,Cloth,L07,vocab,Clothing
वासन,vāsana,Clothing,L08,vocab,Clothing
आभरण,ābharaṇa,Jewelry,L08,vocab,Clothing
ओढनी,oḍhanī,Scarf/Shawl,L08,vocab,Clothing
दिनम्,dinam,Day,L08,vocab,Time
रात्रि,rātri,Night,L08,vocab,Time
सन्ध्या,sandhyā,Evening,L08,vocab,Time
क्षण,kṣaṇa,Moment,L08,vocab,Time
उत्तर,uttara,North,L08,vocab,Directions
दक्षिण,dakṣiṇa,South,L08,vocab,Directions
पूर्व,pūrva,East,L08,vocab,Directions
पश्चिम,paścima,West,L09,vocab,Directions
आनन्द,ānanda,Joy,L09,vocab,Emotions
दुःख,duḥkha,Sorrow,L09,vocab,Emotions
क्लेश,kleśa,Suffering,L09,vocab,Emotions
शान्ति,śānti,Peace,L09,vocab,Emotions
शिक्षकः,śikṣakaḥ,Teacher,L09,vocab,Professions
वैद्यः,vaidyaḥ,Doctor,L09,vocab,Professions
कृषकः,kṛṣakaḥ,Farmer,L09,vocab,Professions
वणिक्,vaṇik,Merchant,L09,vocab,Professions
गम्,gam,Go,L09,vocab,Verbs
आगच्छ,āgaccha,Come,L10,vocab,Verbs
पठ,paṭha,Read,L10,vocab,Verbs
लिख,likh,Write,L10,vocab,Verbs
खाद,khāda,Eat,L10,vocab,Verbs
दिव्य,divya,Divine,L10,vocab,Adjectives
नव,nava,New,L10,vocab,Adjectives
पुरातन,purātana,Ancient,L10,vocab,Adjectives
त्वरित,tvarita,Quick,L10,vocab,Adjectives
प्रति,prati,Towards/For,L10,vocab,Prepositions
सह,saha,With,L10,vocab,Prepositions
अधि,adhi,Over/Above,L11,vocab,Prepositions
अहं,ahaṃ,I,L11,vocab,Pronouns
त्वम्,tvam,You (singular),L11,vocab,Pronouns
एत,eta,This,L11,vocab,Pronouns
ते,te,They,L11,vocab,Pronouns
सोमवासरः,somavāsaraḥ,Monday,L11,vocab,DaysMonths
